DATE,BAA_AAA
2010-11-01,1.05
2010-12-01,1.08
2011-01-01,1.05
2011-02-01,0.93
2011-03-01,0.90
2011-04-01,0.86
2011-05-01,0.82
2011-06-01,0.76
2011-07-01,0.83
2011-08-01,0.99
2011-09-01,1.18
2011-10-01,1.39
2011-11-01,1.27
2011-12-01,1.32
2012-01-01,1.38
2012-02-01,1.29
2012-03-01,1.24
2012-04-01,1.23
2012-05-01,1.27
2012-06-01,1.38
2012-07-01,1.47
2012-08-01,1.43
2012-09-01,1.35
2012-10-01,1.11
2012-11-01,1.01
2012-12-01,0.98
2013-01-01,0.93
2013-02-01,0.95
2013-03-01,0.92
2013-04-01,0.86
2013-05-01,0.84
2013-06-01,0.92
2013-07-01,0.98
2013-08-01,0.88
2013-09-01,0.83
2013-10-01,0.78
2013-11-01,0.75
2013-12-01,0.76
2014-01-01,0.70
2014-02-01,0.65
2014-03-01,0.68
2014-04-01,0.66
2014-05-01,0.60
2014-06-01,0.55
2014-07-01,0.57
2014-08-01,0.61
2014-09-01,0.69
2014-10-01,0.77
2014-11-01,0.87
2014-12-01,0.95
2015-01-01,0.99
2015-02-01,0.90
2015-03-01,0.90
2015-04-01,0.96
2015-05-01,0.91
2015-06-01,0.94
2015-07-01,1.05
2015-08-01,1.15
2015-09-01,1.27
2015-10-01,1.39
2015-11-01,1.40
2015-12-01,1.49
2016-01-01,1.45
2016-02-01,1.38
2016-03-01,1.31
2016-04-01,1.17
2016-05-01,1.03
2016-06-01,1.03
2016-07-01,0.94
2016-08-01,0.92
2016-09-01,0.90
2016-10-01,0.87
2016-11-01,0.85
2016-12-01,0.77
2017-01-01,0.74
2017-02-01,0.69
2017-03-01,0.67
2017-04-01,0.70
2017-05-01,0.70
2017-06-01,0.69
2017-07-01,0.69
2017-08-01,0.68
2017-09-01,0.67
2017-10-01,0.72
2017-11-01,0.70
2017-12-01,0.71
2018-01-01,0.71
2018-02-01,0.69
2018-03-01,0.77
2018-04-01,0.82
2018-05-01,0.83
2018-06-01,0.87
2018-07-01,0.92
2018-08-01,0.89
2018-09-01,0.90
2018-10-01,0.93
2018-11-01,1.00
2018-12-01,1.11
2019-01-01,1.19
2019-02-01,1.16
2019-03-01,1.07
2019-04-01,1.01
2019-05-01,0.96
2019-06-01,1.04
2019-07-01,0.99
2019-08-01,0.89
2019-09-01,0.88
2019-10-01,0.91
2019-11-01,0.88
2019-12-01,0.87
2020-01-01,0.83
2020-02-01,0.83
2020-03-01,1.27
2020-04-01,1.70
2020-05-01,1.45
2020-06-01,1.20
2020-07-01,1.17
2020-08-01,1.02
2020-09-01,1.05
2020-10-01,1.09
2020-11-01,1.0
